OBJECTID,Prov_Cod,fecha,Muestras,Muestras_Acumulados,ConfirmadosFTM,Confirmados_AcumuladosFTM,Confirmados,Confirmados_Acumulados,Positividad_Dia,POSITIVIDAD_4sem,Positividad_Acum,Recuperados,Recuperados_Acumulados,Tasa_Recup,Muertes,Defunciones_Acumulados,Letalidad_Ac,Activos,Activos_INC_14D,CONFIRM_INC_14,FALLEC_INC_14
87,01,2020/03/27 00:00:00+00,81,795,40,367,41,506,0.506172839506,0.461635220125786,0.636477987421,0,2,0.00395256916996047,1,6,1.571146245059,498,8.96,8.730769230769,0
88,01,2020/03/28 00:00:00+00,862,1657,237,604,203,709,0.235498839907,0.364514182257091,0.42788171394,0,2,0.00282087447108604,3,9,2.337094499294,698,10.633333333333,10.435483870967,0
89,01,2020/03/29 00:00:00+00,209,1866,44,648,57,766,0.272727272727,0.347266881028939,0.410503751339,0,2,0.00261096605744125,3,12,2.436031331592,752,9.591549295774,9.493150684931,0
90,01,2020/03/30 00:00:00+00,117,1983,40,688,33,799,0.282051282051,0.347299343765775,0.402924861321,0,2,0.00250312891113892,2,14,2.481852315394,783,8.321428571428,8.290697674418,0
91,01,2020/03/31 00:00:00+00,95,2078,26,714,29,828,0.305263157894,0.34393063583815,0.398460057747,1,3,0.0036231884057971,2,16,2.509661835748,809,7.340206185567,7.363636363636,0
92,01,2020/04/01 00:00:00+00,134,2212,41,755,46,874,0.343283582089,0.341628959276018,0.395117540687,0,3,0.0034324942791762,3,19,2.530892448512,852,6.344827586206,6.406779661016,0
93,01,2020/04/02 00:00:00+00,178,2390,63,818,91,965,0.511235955056,0.342414082145851,0.403765690376,0,3,0.00310880829015544,0,19,2.476683937823,943,6.198473282442,6.255639097744,0
94,01,2020/04/03 00:00:00+00,327,2717,92,910,78,1043,0.238532110091,0.33530062707488,0.383879278616,1,4,0.00383509108341323,1,20,2.604985618408,1019,5.175757575757,5.245508982035,0
95,01,2020/04/04 00:00:00+00,182,2899,58,968,60,1103,0.32967032967,0.334255098513654,0.380476026215,0,4,0.00362647325475975,3,23,2.628286491387,1076,4.912087912087,4.994565217391,0
96,01,2020/04/05 00:00:00+00,2,2901,1,969,7,1110,3.5,0.334369602763385,0.382626680455,2,6,0.00540540540540541,2,25,2.613513513513,1079,3.949541284403,4.045454545454,0
97,01,2020/04/06 00:00:00+00,302,3203,92,1061,79,1189,0.261589403973,0.331872260488416,0.371214486418,0,6,0.00504625735912532,3,28,2.693860386879,1155,3.230769230769,3.307971014492,27
98,01,2020/04/07 00:00:00+00,285,3488,76,1137,81,1270,0.284210526315,0.326530612244898,0.364105504587,1,7,0.00551181102362205,2,30,2.746456692913,1233,2.736363636363,2.791044776119,9
99,01,2020/04/08 00:00:00+00,340,3828,91,1228,87,1357,0.255882352941,0.321372446306967,0.354493207941,0,7,0.0051584377302874,3,33,2.820928518791,1317,2.658333333333,2.717808219178,10
100,01,2020/04/09 00:00:00+00,282,4110,67,1295,61,1418,0.216312056737,0.315609756097561,0.34501216545,0,7,0.00493653032440056,3,36,2.89844851904,1375,2.002183406113,2.049462365591,6.2
101,01,2020/04/10 00:00:00+00,130,4240,36,1331,43,1461,0.330769230769,0.314407381121363,0.344575471698,0,7,0.00479123887748118,1,37,2.90212183436,1417,1.845381526104,1.887351778656,5.166666666666
